Teacher,Subject,Feedback
Dr. Tayal,Discrete Mathematics,Tayal DM 1
Ms Vibha,OOPS,Vibha OOPS 1
Dr. Tayal,Artificial Intelligence,Tayal AI 1
Dr. Ela Kumar,Artificial Intelligence,Ela Kumar AI 1
Mr. Sumit,Compilers,Sumit Compilers 1
Ms Vibha,Multimedia,Vibha Multimedia 1
Dr. Tayal,Artificial Intelligence,Tayal AI 2
Ms Vibha,OOPS,Vibha OOPS 2
Ms Vibha,OOPS,Vibha OOPS 3
Dr. Ela Kumar,Artificial Intelligence,Ela Kumar AI 2
Dr. Ela Kumar,Artificial Intelligence,Ela Kumar AI 3
Mr. Sumit,Compilers,Sumit Compilers 2
Dr. Tayal,Discrete Mathematics,Tayal DM 2
Mr. Sumit,Compilers,Sumit Compilers 3
Mr. Sumit,Compilers,Sumit Compilers 4
